ax,ay,az,gx,gy,gz,label
0.190,-0.300,1.064,-54.817,-28.939,-31.679,down
0.263,-0.279,0.448,11.618,-16.908,21.298,down
0.099,-0.300,1.111,41.015,-2.542,33.099,down
0.099,-0.250,0.933,33.420,4.740,-3.069,down
0.157,-0.163,0.759,30.435,12.679,-32.244,down
0.050,-0.194,1.181,35.000,15.130,4.786,down
0.270,-0.209,1.141,12.649,34.588,-8.847,down
0.064,-0.196,1.122,-38.160,-1.183,6.656,down
0.149,-0.217,1.026,-69.908,3.679,11.260,down
0.052,-0.431,1.436,0.260,-118.023,35.511,down
0.119,-0.370,0.340,-166.374,-37.313,-2.069,down
0.629,-0.280,0.970,-153.679,-62.969,109.489,down
-0.038,-0.446,0.803,-140.252,8.931,-23.939,down
0.296,-0.616,0.510,-57.916,-21.847,-12.504,down
0.114,-0.659,0.460,-33.214,12.954,5.092,down
0.271,-0.709,0.740,-12.237,24.718,8.947,down
0.181,-0.714,0.832,-21.672,25.771,-8.275,down
0.255,-0.726,0.592,-5.740,19.198,-0.733,down
0.185,-0.733,0.604,-4.275,6.443,4.084,down
0.110,-0.708,0.610,-10.137,11.580,-6.130,down
0.183,-0.729,0.665,6.115,5.458,2.550,down
0.160,-0.720,0.696,1.855,29.718,-16.878,down
0.205,-0.715,0.657,-4.779,42.290,-21.145,down
0.273,-0.753,0.690,-6.870,28.420,0.962,down
0.137,-0.734,0.640,0.786,17.603,5.878,down
0.121,-0.722,0.671,6.565,1.656,-4.046,down
0.144,-0.722,0.693,4.221,1.809,0.290,down
0.193,-0.762,0.714,2.412,-5.985,4.794,down
0.147,-0.723,0.699,3.412,0.092,-0.649,down
0.175,-0.724,0.655,3.328,-3.985,-3.809,down
0.149,-0.714,0.679,2.595,0.763,-2.924,down
0.164,-0.716,0.656,3.786,4.092,-2.603,down
0.139,-0.712,0.661,1.092,-3.649,-0.534,down
0.173,-0.725,0.677,-3.313,1.840,1.870,down
0.147,-0.717,0.685,-1.168,3.252,-0.229,down
0.153,-0.712,0.689,3.015,-0.244,-3.496,down
0.205,-0.733,0.684,2.267,0.580,-2.260,down
0.183,-0.724,0.692,3.656,1.672,1.771,down
0.185,-0.733,0.675,2.748,-3.092,-2.786,down
0.172,-0.722,0.698,-0.229,4.328,0.389,down
0.172,-0.727,0.649,1.824,1.183,-2.733,down
0.182,-0.729,0.657,-1.061,1.908,0.435,down
0.196,-0.724,0.660,1.405,3.809,-0.496,down
0.198,-0.727,0.660,1.786,0.344,1.611,down
0.181,-0.728,0.710,0.756,2.473,1.840,down
0.163,-0.723,0.692,1.725,0.985,-0.145,down
0.175,-0.722,0.640,1.580,0.634,1.298,down
0.187,-0.735,0.700,4.015,-0.901,-0.466,down
0.168,-0.740,0.675,0.603,-1.740,0.389,down
0.166,-0.730,0.596,-2.924,-15.015,-1.969,down
-0.040,-0.150,-0.825,49.084,43.466,-128.168,down
-0.416,0.908,1.094,250.130,100.046,-122.840,down
1.602,0.757,2.000,250.130,-26.015,56.611,down
-0.001,0.453,2.000,99.160,52.473,-53.656,down
0.568,0.432,1.260,105.130,-24.023,-58.710,down
-0.078,0.454,0.708,-17.969,24.595,-1.069,down
0.086,0.320,1.056,4.565,8.275,-10.878,down
0.054,0.341,0.873,-5.885,7.344,-11.427,down
0.046,0.306,1.022,-3.290,9.366,3.458,down
-0.034,0.320,0.922,-11.191,7.947,-6.893,down
0.003,0.326,1.039,-1.397,7.092,-8.611,down
0.080,0.320,0.999,-4.489,-2.847,-0.344,down
0.040,0.340,0.985,-5.603,2.023,-1.702,down
0.032,0.330,1.046,2.885,-5.504,4.931,down
0.018,0.350,1.063,0.107,4.580,7.115,down
0.039,0.321,1.260,-28.733,-18.122,15.580,down
0.031,0.355,1.208,-163.351,-23.305,34.023,down
0.273,0.108,1.177,-107.160,-42.763,39.939,down
0.162,0.003,1.038,-73.618,-57.595,62.962,down
-0.034,-0.009,1.150,-151.031,-17.130,40.412,down
0.209,-0.205,0.907,-101.527,-51.023,35.824,down
0.170,-0.463,0.709,-45.687,-14.420,33.015,down
0.041,-0.272,1.233,-64.481,-15.855,23.603,down
0.245,-0.391,0.745,-88.290,26.145,-40.374,down
0.263,-0.454,0.898,-90.366,9.160,23.160,down
0.233,-0.527,0.753,-41.695,-0.328,-4.092,down
0.282,-0.583,0.715,-60.763,17.802,8.374,down
0.141,-0.579,0.912,-74.137,24.389,7.015,down
0.278,-0.696,0.510,-20.618,0.985,28.275,down
0.081,-0.655,0.783,-75.634,18.977,9.412,down
0.164,-0.729,0.892,-41.840,-9.130,13.824,down
0.178,-0.759,0.570,-58.641,-5.672,9.802,down
0.139,-0.769,0.621,-78.221,9.115,-6.863,down
0.197,-0.819,0.434,-75.229,8.008,4.015,down
0.137,-0.846,0.417,-45.420,1.802,-1.344,down
0.125,-0.854,0.394,-19.511,5.840,1.450,down
0.112,-0.855,0.497,-21.824,7.496,-7.038,down
0.155,-0.870,0.363,0.901,3.145,-3.817,down
0.183,-0.897,0.500,-0.336,6.008,-2.901,down
0.135,-0.898,0.399,-14.099,-0.740,-4.534,down
0.148,-0.885,0.471,5.496,0.557,3.977,down
0.186,-0.916,0.455,-16.832,0.511,2.031,down
0.354,-1.004,0.447,-4.573,-4.641,37.840,down
-0.293,-0.551,0.044,69.534,40.458,27.511,down
-0.325,0.582,-2.000,250.130,203.069,-70.397,down
1.235,1.507,2.000,250.130,154.740,98.771,down
-0.958,0.796,2.000,145.542,-58.344,-134.481,down
0.631,0.331,0.826,96.115,-80.092,-100.008,down
0.127,0.418,0.923,-48.924,83.885,-17.130,down
-0.105,0.347,0.877,10.954,5.588,17.298,down
0.015,0.340,0.998,-32.725,25.015,-13.641,down
-0.145,0.281,0.945,6.366,-0.443,11.107,down
-0.116,0.313,1.079,-15.947,-6.412,-3.435,down
0.001,0.271,0.914,6.687,6.321,4.603,down
-0.116,0.281,0.979,-7.809,2.802,-4.000,down
-0.094,0.268,0.939,6.275,7.298,-2.504,down
-0.035,0.286,0.951,2.183,5.687,-3.076,down
-0.043,0.290,1.005,1.603,7.244,4.511,down
-0.033,0.295,0.898,19.076,5.947,2.015,down
0.004,0.312,0.989,14.626,22.611,8.580,down
-0.122,0.337,0.989,10.992,2.351,7.321,down
-0.080,0.340,1.040,-2.107,2.351,-5.458,down
-0.038,0.351,1.177,37.679,-22.473,20.221,down
-0.122,0.467,1.555,-90.527,-56.313,12.939,down
0.292,0.216,0.710,-64.053,-104.397,21.160,down
0.095,0.156,1.125,-150.641,-20.542,13.374,down
0.017,0.052,0.990,-146.260,-22.870,38.092,down
0.144,-0.129,0.935,-138.191,-17.885,41.183,down
0.086,-0.234,0.898,-107.786,-25.466,17.412,down
0.100,-0.380,0.889,-75.405,-34.115,13.366,down
0.146,-0.424,0.881,-91.824,-21.069,19.015,down
0.084,-0.455,0.946,-103.084,-19.336,3.168,down
0.221,-0.583,0.695,-92.115,-5.489,-12.664,down
0.110,-0.584,0.688,-79.160,-15.977,14.725,down
0.159,-0.723,0.616,-44.382,-4.901,-18.740,down
0.192,-0.706,0.648,-78.130,17.611,-7.374,down
0.307,-0.758,0.711,-62.740,16.328,1.260,down
0.176,-0.773,0.410,-40.641,19.252,4.718,down
0.052,-0.774,0.539,-17.618,0.939,-6.321,down
0.262,-0.835,0.573,-1.115,13.397,-20.435,down
0.253,-0.814,0.533,2.779,-0.511,-6.282,down
0.148,-0.766,0.591,-2.206,2.542,-2.328,down
0.271,-0.806,0.568,1.336,-0.885,-7.389,down
0.235,-0.790,0.527,-2.496,2.916,0.450,down
0.200,-0.802,0.643,-5.290,5.176,-3.939,down
0.222,-0.803,0.473,-10.168,5.282,10.504,down
-0.219,-0.478,-0.050,-29.695,58.992,-5.366,down
0.149,-0.078,-1.212,250.130,85.733,-96.802,down
0.263,0.352,0.655,250.130,100.832,-68.130,down
0.061,0.722,2.000,250.130,7.519,52.275,down
-0.107,0.540,0.904,83.649,39.244,-42.260,down
0.293,0.461,0.788,-0.672,45.641,-34.176,down
-0.132,0.564,1.642,-82.855,6.634,11.565,down
-0.087,0.557,1.108,5.840,-16.725,-8.069,down
0.041,0.499,1.108,-25.328,-14.695,2.672,down
0.044,0.475,0.979,6.435,-6.756,-0.756,down
-0.052,0.478,0.941,3.489,7.649,-5.008,down
0.067,0.460,0.867,4.870,1.832,-0.664,down
0.049,0.463,0.974,6.527,1.832,1.878,down
0.136,0.268,0.742,30.450,-2.740,3.977,down
0.048,0.486,0.881,5.847,7.588,1.130,down
0.098,0.494,0.889,3.244,8.939,0.397,down
0.020,0.498,0.893,5.000,17.473,3.008,down
0.059,0.500,0.903,2.969,4.740,-3.496,down
0.062,0.501,0.883,7.160,-1.573,2.786,down
0.066,0.513,0.888,12.985,-18.542,3.046,down
0.058,0.529,0.938,2.336,-0.702,-0.015,down
0.066,0.530,0.976,-8.366,-3.382,1.580,down
0.042,0.549,0.991,-13.969,2.977,-1.405,down
0.090,0.536,1.158,-33.153,-2.519,4.595,down
0.148,0.547,1.440,-135.626,-12.214,13.275,down
0.221,0.371,1.122,-166.366,40.855,60.504,down
0.161,0.254,1.023,-250.137,56.641,3.450,down
0.312,-0.026,1.000,-170.641,41.557,62.771,down
-0.147,-0.088,1.173,-168.885,-13.420,40.962,down
0.017,-0.305,0.445,-151.985,16.214,18.252,down
-0.258,-0.560,1.051,-63.405,-50.786,39.427,down
-0.053,-0.556,0.582,-67.183,-0.191,-9.550,down
-0.079,-0.543,1.082,-88.183,-22.321,-7.153,down
0.048,-0.595,0.781,-96.618,10.924,-44.740,down
-0.004,-0.701,0.744,-60.847,-20.534,-12.000,down
0.143,-0.749,0.422,-64.359,2.366,-18.870,down
0.027,-0.726,0.509,-101.481,31.481,-26.695,down
0.160,-0.856,0.532,-12.290,-3.641,-14.519,down
0.116,-0.852,0.485,-64.931,23.214,-24.519,down
0.094,-0.864,0.455,-13.008,9.519,2.031,down
0.165,-0.879,0.279,-42.290,12.092,-1.122,down
0.083,-0.857,0.319,-3.725,7.405,20.084,down
-0.160,-0.595,-0.206,75.626,76.298,-7.084,down
0.148,0.487,-2.000,250.130,250.130,-73.061,down
1.552,0.988,2.000,250.130,67.405,48.527,down
-0.109,0.570,1.868,46.405,127.489,-28.725,down
-0.055,0.502,1.492,56.145,69.359,-16.153,down
-0.041,0.513,1.201,99.389,25.672,9.870,down
0.094,0.441,0.789,37.191,13.924,-1.748,down
-0.164,0.485,0.805,22.870,21.389,-7.069,down
-0.115,0.489,0.895,-10.550,22.183,-10.908,down
-0.149,0.509,0.911,16.756,-5.817,2.840,down
-0.211,0.527,0.978,-5.885,9.794,-4.160,down
-0.169,0.513,0.844,16.511,22.550,1.977,down
-0.151,0.514,0.956,1.282,4.374,0.924,down
-0.126,0.513,0.826,11.328,1.611,0.107,down
-0.176,0.512,0.912,1.160,10.412,1.328,down
-0.178,0.514,0.813,-7.626,9.008,-7.160,down
-0.110,0.503,0.880,-2.076,7.672,-3.481,down
-0.181,0.518,0.887,-1.359,3.481,-4.435,down
-0.127,0.519,0.935,-2.038,0.603,-0.863,down
-0.183,0.503,0.880,-8.397,-0.763,-1.412,down
-0.198,0.500,0.895,0.137,5.405,-1.916,down
-0.177,0.501,0.907,-3.718,-1.740,-3.267,down
