ax,ay,az,gx,gy,gz,label
0.185,0.172,0.980,2.748,6.863,-4.214,idle
0.188,0.200,0.986,6.916,4.969,-0.962,idle
0.229,0.193,0.973,4.771,14.397,3.206,idle
0.173,0.195,0.960,11.588,7.321,13.229,idle
0.163,0.202,0.968,14.557,15.756,-1.153,idle
0.153,0.226,1.005,23.252,-10.672,19.992,idle
0.151,0.256,1.071,1.649,1.977,3.992,idle
0.197,0.224,0.961,-1.695,0.687,1.328,idle
0.249,0.240,0.978,5.534,2.916,6.069,idle
0.115,0.251,1.051,-20.649,11.519,5.672,idle
0.280,0.167,0.815,16.557,24.763,-3.290,idle
0.042,0.248,1.318,-10.565,5.885,23.382,idle
0.115,0.141,0.744,-57.817,30.137,-23.031,idle
0.192,0.164,0.875,76.405,-13.939,3.000,idle
0.061,0.277,1.249,-4.023,-7.618,4.519,idle
0.282,0.173,0.808,-18.130,27.481,-25.000,idle
0.117,0.238,1.067,64.061,-21.962,26.137,idle
0.093,0.284,1.197,-47.710,12.206,-10.901,idle
0.217,0.206,0.849,10.733,-5.366,6.458,idle
0.077,0.230,1.074,-24.122,6.985,1.824,idle
0.198,0.181,0.921,2.534,3.061,3.794,idle
0.138,0.191,1.012,-16.985,18.733,-4.916,idle
0.156,0.159,0.892,4.328,11.611,3.641,idle
0.129,0.179,1.155,9.588,1.076,10.992,idle
0.062,0.151,0.988,-27.191,9.458,-4.053,idle
0.071,0.128,0.974,-0.855,-10.656,-8.771,idle
0.177,0.156,1.011,-6.481,-0.198,-6.908,idle
0.205,0.151,0.994,9.496,2.679,-5.786,idle
0.104,0.183,1.092,-19.649,2.557,5.084,idle
0.179,0.146,0.946,-14.679,12.878,-0.977,idle
0.161,0.123,1.012,6.435,-0.557,13.977,idle
0.087,0.105,0.960,-2.489,12.489,4.115,idle
0.085,0.113,1.024,3.122,3.702,9.252,idle
0.073,0.114,1.074,7.977,1.282,2.321,idle
0.118,0.112,0.996,-8.153,6.160,-7.840,idle
0.075,0.113,1.032,0.489,-7.588,7.588,idle
0.118,0.104,0.974,-7.527,7.504,-8.435,idle
0.170,0.105,0.984,16.069,0.626,1.565,idle
0.094,0.116,0.998,10.649,5.733,4.863,idle
0.093,0.138,1.057,2.733,1.000,-1.008,idle
0.183,0.119,0.980,2.076,4.779,1.008,idle
0.071,0.128,1.041,5.580,-1.374,2.695,idle
0.130,0.123,1.012,4.115,1.695,-1.824,idle
0.154,0.128,1.035,-4.191,6.145,3.145,idle
0.138,0.129,1.054,-1.069,7.489,1.405,idle
0.080,0.104,0.929,-0.687,9.473,-0.366,idle
0.096,0.121,1.022,9.672,2.382,1.412,idle
0.037,0.127,1.065,-4.427,-3.313,4.405,idle
0.161,0.107,1.020,-9.015,2.282,-5.160,idle
0.119,0.112,1.027,-5.885,2.603,-5.756,idle
0.092,0.096,0.941,5.260,-6.198,3.099,idle
0.104,0.107,0.999,-6.061,2.779,-1.473,idle
0.149,0.103,1.033,8.183,-3.115,7.084,idle
0.130,0.091,0.997,-1.450,7.260,1.863,idle
0.111,0.078,1.013,5.725,3.939,-0.069,idle
0.118,0.092,1.043,4.840,3.038,1.137,idle
0.099,0.090,1.033,0.527,0.840,0.573,idle
0.126,0.080,0.968,-0.351,1.695,-2.046,idle
0.107,0.094,1.023,1.809,1.435,-0.481,idle
0.118,0.086,0.984,8.252,0.481,2.290,idle
0.098,0.109,1.041,2.748,3.275,-2.267,idle
0.164,0.095,0.980,1.832,4.443,-3.115,idle
0.114,0.116,1.090,5.145,-4.435,4.687,idle
0.167,0.096,0.951,-1.779,7.893,-6.832,idle
0.091,0.110,1.052,9.656,0.229,3.328,idle
0.082,0.097,1.032,-0.229,3.298,-2.878,idle
0.157,0.097,1.002,0.573,4.573,-4.176,idle
0.122,0.106,1.011,4.557,-0.557,2.031,idle
0.119,0.103,1.020,5.824,0.214,0.863,idle
0.108,0.098,1.001,0.450,3.298,-1.626,idle
0.106,0.105,1.038,4.153,-1.947,1.634,idle
0.141,0.111,0.998,2.069,4.244,-3.588,idle
0.123,0.115,1.007,2.282,3.076,-1.115,idle
0.120,0.114,1.010,5.366,2.641,0.076,idle
0.115,0.111,1.014,3.435,3.145,-1.863,idle
0.138,0.115,1.038,2.832,1.313,-0.221,idle
0.116,0.114,1.022,-1.832,1.557,-1.336,idle
0.113,0.105,0.966,4.687,1.481,-0.176,idle
0.128,0.119,1.034,1.053,3.870,-3.160,idle
0.132,0.108,0.982,5.588,1.229,1.550,idle
0.088,0.110,1.028,0.649,0.855,0.038,idle
0.137,0.110,1.002,4.580,0.588,-0.908,idle
0.135,0.120,1.021,-2.412,1.458,-1.198,idle
0.124,0.124,1.016,3.969,-3.779,3.489,idle
0.134,0.117,0.992,-7.130,5.924,-3.435,idle
0.131,0.118,1.046,5.366,-3.221,3.931,idle
0.146,0.102,0.982,2.992,3.656,-1.420,idle
