ax,ay,az,gx,gy,gz,label
0.150,-0.040,0.954,2.099,-12.496,1.656,left
0.117,-0.067,1.010,-1.076,12.893,-3.985,left
-0.025,-0.109,0.679,30.168,18.962,-12.817,left
0.132,0.042,0.924,127.863,-2.046,-31.878,left
-0.250,0.440,1.209,94.328,-45.664,-131.931,left
0.362,0.216,1.130,-55.519,17.092,-60.130,left
0.052,0.051,0.771,-27.511,30.863,-41.977,left
0.250,0.059,0.510,89.473,42.000,-31.198,left
-0.013,0.342,1.236,132.802,-34.260,43.542,left
0.444,0.476,2.000,-5.275,-150.069,79.153,left
-0.186,0.072,0.295,-156.901,49.756,-59.489,left
0.270,0.105,1.078,67.229,-0.916,-49.366,left
0.024,0.602,1.067,14.359,51.458,-127.679,left
0.019,0.287,1.062,-36.145,-2.824,-39.191,left
-0.066,-0.166,0.979,54.763,-15.260,-86.718,left
0.375,0.139,1.216,-75.015,10.412,-25.183,left
0.150,0.102,0.704,-47.015,-56.779,145.313,left
-0.355,0.076,1.057,54.038,-34.435,50.893,left
0.087,0.180,0.873,2.947,30.878,-36.466,left
0.164,0.184,0.976,90.733,-20.282,3.649,left
0.163,0.277,1.074,28.740,-4.847,31.878,left
0.050,0.402,1.078,29.198,-23.466,32.794,left
0.059,0.241,1.019,-34.237,21.954,-26.099,left
0.105,0.166,0.738,11.557,-0.206,-18.771,left
0.188,0.306,1.127,79.427,-57.672,-4.244,left
-0.052,0.313,1.181,-88.786,-9.183,-23.924,left
0.450,0.197,0.705,19.847,7.366,-52.176,left
0.035,0.285,1.117,15.038,6.344,-21.947,left
0.281,0.284,1.006,-24.023,11.542,-13.985,left
0.149,0.231,0.907,10.641,-6.244,-12.679,left
0.265,0.278,1.033,7.382,-32.969,17.802,left
0.067,0.269,0.959,-11.992,-5.725,-7.496,left
0.235,0.265,1.006,-10.298,-16.733,-1.992,left
0.225,0.257,0.974,12.344,-8.183,-15.244,left
0.234,0.257,1.010,-5.489,-9.420,-13.542,left
0.253,0.240,0.935,-1.832,0.977,-4.763,left
0.210,0.256,0.991,-4.321,-7.840,-1.046,left
0.242,0.228,0.901,-1.038,7.725,-10.847,left
0.181,0.250,0.957,11.748,-2.420,-6.115,left
0.254,0.257,1.005,-0.015,3.557,-9.076,left
0.246,0.244,0.916,4.084,-3.412,-2.557,left
0.233,0.265,1.012,9.794,-4.145,-0.031,left
0.232,0.273,0.972,-1.053,16.221,-18.382,left
0.314,0.264,0.973,-5.733,3.947,-2.710,left
0.219,0.255,0.956,7.191,-1.702,0.847,left
0.175,0.238,0.925,0.885,-8.733,-0.901,left
0.242,0.256,0.923,22.969,7.618,-20.435,left
0.272,0.282,0.932,18.267,12.382,-8.313,left
0.749,0.475,1.232,37.855,67.397,-30.817,left
2.000,1.441,1.846,-250.137,250.130,207.008,left
-0.349,0.983,-1.180,-190.565,-10.008,250.130,left
-1.465,0.983,1.079,250.130,-63.725,250.130,left
-0.708,0.592,1.589,-56.351,60.458,113.137,left
-0.142,0.188,0.900,-11.382,142.458,-40.771,left
-0.344,0.152,1.109,-13.015,56.313,18.557,left
-0.154,0.203,0.841,42.580,51.481,-3.878,left
-0.552,0.304,1.107,16.878,-24.649,26.779,left
-0.133,0.285,1.000,22.855,25.473,-36.061,left
-0.359,0.298,1.065,-10.840,-17.153,-8.412,left
-0.260,0.282,0.901,-8.893,-14.374,-29.527,left
-0.390,0.332,1.160,-4.237,-72.924,-12.321,left
-0.363,0.304,1.051,-59.458,-30.557,-103.496,left
-0.136,0.234,1.094,-81.214,-112.870,-67.634,left
-0.242,0.108,0.697,-99.878,-68.229,-114.977,left
-0.013,-0.001,0.465,36.802,-50.969,-146.511,left
0.054,0.122,0.810,127.527,-78.580,-127.260,left
0.386,0.468,1.130,128.351,13.115,-225.847,left
