ax,ay,az,gx,gy,gz,label
0.136,0.457,1.137,-43.405,50.084,17.107,right
-0.080,0.331,0.735,-23.534,20.198,59.000,right
-0.124,0.392,0.827,23.557,55.802,14.389,right
-0.012,0.427,1.265,-43.893,-22.947,75.053,right
0.136,0.354,1.007,-81.519,58.496,15.321,right
-0.052,0.250,0.722,-34.756,40.725,74.359,right
-0.214,0.454,0.995,4.885,39.573,81.420,right
-0.220,0.258,1.085,-61.641,69.496,-0.389,right
-0.122,0.280,0.691,32.924,21.366,52.519,right
-0.313,0.388,1.370,-26.481,-18.466,51.504,right
-0.136,0.169,0.532,-79.382,88.405,-51.710,right
-0.030,0.261,1.013,89.824,-85.626,87.061,right
-0.525,0.357,1.057,-40.038,-19.092,24.748,right
-0.114,0.228,0.898,9.763,29.015,-70.397,right
0.091,0.244,1.066,20.305,-2.809,-9.519,right
-0.200,0.232,0.933,-5.908,-2.756,12.908,right
-0.024,0.310,1.066,25.992,20.992,2.229,right
-0.236,0.274,0.963,-21.840,-10.214,38.061,right
-0.113,0.266,0.891,28.534,25.183,-4.214,right
-0.159,0.342,1.159,-1.382,-31.649,46.092,right
-0.256,0.270,0.932,-29.290,16.893,-17.191,right
-0.072,0.248,0.929,-17.038,10.046,-9.244,right
-0.202,0.059,0.956,11.420,-10.282,-13.725,right
-0.032,0.219,0.940,-1.962,8.641,-13.038,right
-0.233,0.237,1.016,-1.733,-16.931,-0.298,right
-0.054,0.055,0.857,2.313,9.061,-8.244,right
-0.194,0.246,1.041,7.893,-23.053,13.939,right
-0.107,0.225,1.035,-22.809,12.489,-20.969,right
-0.102,0.204,0.940,-5.527,-18.649,9.687,right
-0.114,0.232,1.054,-0.992,1.168,-10.435,right
-0.099,0.195,0.967,-14.397,-1.053,-7.710,right
-0.068,0.187,0.977,4.137,-4.214,0.786,right
-0.128,0.197,0.995,1.710,-0.130,-0.374,right
-0.044,0.195,0.996,4.969,1.679,1.519,right
-0.154,0.210,1.015,10.290,-1.328,2.435,right
-0.098,0.206,0.997,-0.435,2.771,0.290,right
