ax,ay,az,gx,gy,gz,label
0.079,0.286,0.975,-27.435,18.214,-17.260,up
-0.044,0.197,0.603,5.466,1.603,3.389,up
0.163,0.324,1.289,105.740,-1.718,8.282,up
-0.317,0.376,1.102,-32.542,16.344,-15.076,up
0.360,0.193,0.816,-24.504,54.626,-7.672,up
-0.450,0.378,0.633,184.718,-81.901,55.672,up
0.166,0.619,2.000,-63.382,26.550,-37.588,up
-0.095,0.503,0.363,-110.252,5.053,-85.855,up
0.470,0.314,0.661,-32.351,-46.206,72.252,up
-0.124,0.386,1.090,95.313,-14.137,67.885,up
-0.221,0.303,0.909,-14.603,54.305,-20.763,up
0.019,0.445,0.732,88.427,-34.206,28.695,up
0.004,0.495,1.280,17.420,-34.412,24.221,up
-0.035,0.391,0.825,-18.550,-56.565,20.504,up
0.291,0.374,0.930,31.168,1.145,3.672,up
-0.094,0.376,0.781,54.290,-54.687,45.458,up
0.184,0.591,0.946,8.847,-26.008,6.130,up
0.340,0.524,0.950,67.389,-44.817,14.160,up
-0.042,0.566,1.010,-19.664,-14.389,-4.687,up
0.480,0.530,0.780,12.344,-7.779,-8.847,up
0.198,0.589,0.942,27.641,30.664,-73.626,up
0.248,0.534,0.772,-6.458,-12.550,40.000,up
0.066,0.684,1.217,21.359,45.550,-74.489,up
0.118,0.442,0.379,-69.588,12.687,-1.206,up
-0.023,0.564,0.812,59.305,-42.840,-3.435,up
0.456,0.678,0.540,41.649,73.992,-43.206,up
0.113,0.771,1.222,77.542,-41.344,40.840,up
-0.120,0.699,0.803,-80.847,114.382,-96.092,up
0.074,0.582,0.379,54.748,-108.634,71.214,up
0.411,0.887,1.393,29.168,67.298,-53.000,up
-0.522,0.610,0.543,-122.351,-26.229,21.160,up
0.759,0.652,0.963,4.466,33.282,1.718,up
-0.411,0.596,0.748,-83.672,8.076,73.145,up
0.091,0.505,0.660,-1.611,24.618,-36.473,up
0.079,0.535,0.883,-20.893,16.511,-27.344,up
0.064,0.533,0.946,-7.817,47.427,-69.244,up
0.154,0.528,0.976,-38.221,9.840,25.519,up
-0.179,0.441,0.809,1.031,-0.176,-11.267,up
0.056,0.501,0.870,22.405,22.130,-0.885,up
0.038,0.516,0.929,-0.679,-18.198,34.740,up
-0.125,0.538,0.858,31.305,-20.840,9.817,up
0.213,0.566,1.005,-17.389,33.656,-15.298,up
-0.143,0.492,0.692,24.450,-23.176,27.947,up
0.049,0.569,1.021,0.924,8.389,-15.947,up
0.050,0.525,0.836,0.107,-17.527,8.160,up
-0.053,0.528,0.863,9.634,-2.954,-4.061,up
0.070,0.528,0.844,8.985,-8.145,-4.099,up
-0.021,0.544,0.866,15.588,9.008,-14.412,up
0.182,0.561,0.927,-11.466,-2.427,14.618,up
-0.035,0.519,0.790,18.748,4.527,4.489,up
-0.023,0.641,0.834,51.458,-24.084,4.069,up
0.436,1.505,2.000,-162.260,-192.901,3.061,up
0.207,1.776,-0.563,-250.137,250.130,-250.137,up
1.276,-0.358,0.166,-106.985,-250.137,157.038,up
-0.310,-0.073,0.518,-250.137,-53.634,250.130,up
